Family	Genus	Scientific name	Adult survival	Age at first breeding	Maximum longevity	Z	GenFLS	GenFL	GenFS	GenLength	Priority for research
Cardinalidae	Habia	Habia olivacea	0,662651051	1,204709899	8,969945375	0,142143345	2,941678506	2,308486444	3,168999555	2,941678506	Low
Cardinalidae	Habia	Habia stolzmanni	0,695550696	1,50382152	11,0480342	0,193790565	3,516199904	3,353399888	3,788440624	3,516199904	Low
Cardinalidae	Piranga	Piranga roseogularis	0,627881114	0,980843197	8,022127925	0,142143345	2,470127404	1,981714961	2,668156412	2,470127404	Low
Cardinalidae	Piranga	Piranga erythrocephala	0,614462782	0,937048101	8,536560029	0,142143345	2,41702677	2,017268147	2,530831407	2,41702677	Low
Cardinalidae	Piranga	Piranga rubriceps	0,677935029	1,060014972	8,26379584	0,142143345	2,791369585	2,083984481	3,164978535	2,791369585	Low
Cardinalidae	Piranga	Piranga leucoptera	0,620427623	0,882806857	7,695574675	0,142143345	2,337769656	1,851196463	2,517350519	2,337769656	Low
Cardinalidae	Piranga	Piranga olivacea	0,584064842	1,032526832	10,1	0,142143345	2,390336661	2,321407799	2,436747732	2,390336661	Low
Cardinalidae	Piranga	Piranga rubra	0,6165	1,039147069	8,671966316	0,142143345	2,529418312	2,124101529	2,646708999	2,529418312	Low
Cardinalidae	Piranga	Piranga bidentata	0,625893018	1,180680586	10,49900527	0,142143345	2,760596324	2,505218426	2,853712762	2,760596324	Low
Cardinalidae	Piranga	Piranga ludoviciana	0,561553962	0,999794633	8,894928108	0,142143345	2,230321436	2,122035314	2,280577017	2,230321436	Low
Cardinalidae	Piranga	Piranga hepatica	0,566166667	0,999863089	8,646666667	0,142143345	2,250777359	2,086805328	2,304895745	2,250777359	Low
Cardinalidae	Piranga	Piranga flava	0,566166667	0,999863089	8,646666667	0,142143345	2,250777359	2,086805328	2,304895745	2,250777359	Low
Cardinalidae	Cardinalis	Cardinalis cardinalis	0,772935158	1,016651911	15,8	0,142143345	4,156734357	3,118006459	4,420680255	4,156734357	Low
Cardinalidae	Cardinalis	Cardinalis phoeniceus	0,815664418	1,033458749	10,48733762	0,142143345	3,959452082	2,377264715	5,458347363	3,959452082	Low
Cardinalidae	Cardinalis	Cardinalis sinuatus	0,955	1,057733677	11,35819563	0,142143345	5,599267088	2,521875794	22,2799559	5,599267088	Low
Cardinalidae	Caryothraustes	Caryothraustes poliogaster	0,638576145	1,358689397	10,91117688	0,142143345	3,045748232	2,716511921	3,125523922	3,045748232	Low
Cardinalidae	Caryothraustes	Caryothraustes canadensis	0,673388104	1,329168551	10,19658514	0,142143345	3,19544486	2,589612806	3,390906388	3,19544486	Low
Cardinalidae	Caryothraustes	Caryothraustes celaeno	0,705393841	1,47571275	11,66599329	0,142143345	3,685146806	2,924193312	3,870074916	3,685146806	Low
Cardinalidae	Caryothraustes	Caryothraustes erythromelas	0,716424792	1,271388416	9,948879747	0,142143345	3,428422588	2,50483606	3,797789779	3,428422588	Low
Thraupidae	Catamblyrhynchus	Catamblyrhynchus diadema	0,643819821	1,032015763	7,390316054	0,142143345	2,503201892	1,935805835	2,839583559	2,503201892	Low
Thraupidae	Charitospiza	Charitospiza eucosma	0,577221284	0,864748454	7,028310585	0,142143345	2,07734219	1,740857792	2,230052009	2,07734219	Medium
Thraupidae	Orchesticus	Orchesticus abeillei	0,705217414	1,37723047	9,683716218	0,142143345	3,455764062	2,557942139	3,769561115	3,455764062	Low
Thraupidae	Parkerthraustes	Parkerthraustes humeralis	0,667796163	1,347215118	10,52378554	0,142143345	3,226309495	2,651603533	3,357415148	3,226309495	Low
Thraupidae	Nemosia	Nemosia pileata	0,664588367	1,205196846	8,078926698	0,142143345	2,870116565	2,1822518	3,186608048	2,870116565	Low
Thraupidae	Nemosia	Nemosia rourei	0,628926284	1,057040653	6,942403412	0,142143345	2,468432982	1,893605802	2,751922982	2,468432982	Low
Thraupidae	Cyanicterus	Cyanicterus cyanicterus	0,697195644	1,222354028	8,710317353	0,142143345	3,160334725	2,286718182	3,524816427	3,160334725	Low
Thraupidae	Sericossypha	Sericossypha albocristata	0,763593941	1,543419219	10,90083303	0,193790565	4,05078128	3,356797728	4,773429246	4,05078128	Low
Thraupidae	Compsothraupis	Compsothraupis loricata	0,72987554	1,414425129	10,24075365	0,142143345	3,668160106	2,669028989	4,116422349	3,668160106	Low
Thraupidae	Coryphaspiza	Coryphaspiza melanotis	0,626486806	1,024987231	8,418562387	0,142143345	2,507815481	2,075934735	2,702268827	2,507815481	Low
Thraupidae	Embernagra	Embernagra platensis	0,635066256	1,207811851	10,57372019	0,142143345	2,872984526	2,539113391	2,948035293	2,872984526	Low
Thraupidae	Embernagra	Embernagra longicauda	0,689630862	1,239079247	10,07896058	0,142143345	3,211667398	2,495609549	3,461049081	3,211667398	Low
Thraupidae	Emberizoides	Emberizoides ypiranganus	0,584132991	1,031813415	9,03347454	0,142143345	2,364599191	2,169196293	2,4364283	2,364599191	Low
Thraupidae	Emberizoides	Emberizoides herbicola	0,705155099	1,315932665	9,992910862	0,142143345	3,394035153	2,54930737	3,707546346	3,394035153	Low
Thraupidae	Emberizoides	Emberizoides duidae	0,673035091	1,107953231	8,734159857	0,142143345	2,903923799	2,19196775	3,166385413	2,903923799	Low
Thraupidae	Incaspiza	Incaspiza pulchra	0,672696215	1,14274459	9,17266538	0,142143345	2,936770007	2,284144391	3,198010205	2,936770007	Low
Thraupidae	Incaspiza	Incaspiza personata	0,684987386	1,184172581	9,473845884	0,142143345	3,049584075	2,362494473	3,358648635	3,049584075	Low
Thraupidae	Incaspiza	Incaspiza ortizi	0,687466344	1,178828007	9,362267657	0,142143345	3,058842654	2,342049492	3,378483407	3,058842654	Low
Thraupidae	Incaspiza	Incaspiza laeta	0,662633692	1,09386531	8,729209238	0,142143345	2,830736333	2,179178636	3,05800244	2,830736333	Low
Thraupidae	Incaspiza	Incaspiza watkinsi	0,661566412	1,078058686	8,549663783	0,142143345	2,808936777	2,140097627	3,03284815	2,808936777	Low
Thraupidae	Rhopospina	Rhopospina fruticeti	0,538472237	1,118805457	10,61914295	0,142143345	2,273369763	2,469215207	2,285522349	2,469215207	Low
Thraupidae	Porphyrospiza	Porphyrospiza caerulescens	0,601764706	0,93151001	7,569843223	0,142143345	2,302617792	1,875104898	2,442588297	2,302617792	Low
Thraupidae	Corydospiza	Corydospiza alaudina	0,555503745	1,019281292	9,406552168	0,142143345	2,223455377	2,21147603	2,269019032	2,223455377	Medium
Thraupidae	Corydospiza	Corydospiza carbonaria	0,478438049	0,963801546	9,292246594	0,142143345	1,869282238	2,147634584	1,881119322	2,147634584	Medium
Thraupidae	Chlorophanes	Chlorophanes spiza	0,629921404	1,256904965	9,4427949	0,142143345	2,816257624	2,420474742	2,959033677	2,816257624	Low
Thraupidae	Iridophanes	Iridophanes pulcherrimus	0,615767908	1,204410138	9,154831561	0,142143345	2,690976781	2,334509633	2,807003781	2,690976781	Low
Thraupidae	Chrysothlypis	Chrysothlypis salmoni	0,635956784	1,007916871	7,223735617	0,142143345	2,447404879	1,891454139	2,754843489	2,447404879	Low
Thraupidae	Chrysothlypis	Chrysothlypis chrysomelas	0,62852856	0,988370228	7,924284977	0,142143345	2,480657781	1,974264351	2,680367222	2,480657781	Low
